language,city,level,years_of_experience,salary
php,UK,3,10,3000
.net,Danija,2,10,2700
php,Vilnius,3,10,2800
php,Vilnius,3,10,3400
java,Vilnius,3,10,2500
php,Kaunas,2,4,2100
go,UK,3,10,10500
.net,Vilniuje,1,1,1181
php,Vilnius,3,8,3500
.net,Kaunas,2,2,1800
php,Kaunas,1,5,1800
php,Klaipėda,2,3,2000
go,Vilnius,3,5,4300
php,Vilnius,2,5,2700
python,JAV,2,5,3600
js,Kaunas,2,10,2000
.net,Vilnius,2,7,2250
js,Kaunas,1,1,1400
php,Vilnius,2,6,2100
.net,Vilnius,3,6,2800
go,Vilnius,3,10,5300
php,Klaipeda,2,5,1400
java,Vilnius,2,3,2600
vue,Izraelis,3,6,3350
php,Vilnius,3,6,3000
js,Norvegija,2,5,3000
ruby,Vilnius,3,10,4800
js,Vilnius,3,9,6000
.net,Kaunas,3,9,2800
go,Kaunas,1,1,1050
php,Kaunas,2,3,2500
go,Klaipėda,1,1,1700
js,Vilnius,2,3,2070
js,Vilnius,2,2,1670
kotlin,Vilnius,2,4,2300
php,Vilnius,3,10,3000
php,Kaunas,3,7,3400
node,Kaunas,3,8,3600
.net,Kaunas,3,8,3400
js,Vilnius,1,2,1396
php,Vilnius,2,5,1400
python,Kaunas,2,3,2700
.net,Klaipėda,1,1,1300
php,Kaunas,3,4,3500
kotlin,Vilnius,3,5,2900
js,Kaune,1,1,1200
.net,Vilnius,2,5,2435
js,UK,2,4,3200
php,Kaunas,2,6,2100
node,Vilnius,3,5,3200
node,Vilnius,2,10,3200
js,Kaunas,2,5,2370
js,Kaunas,2,3,2000
php,Kaunas,3,6,2500
java,Kaunas,3,10,5000
go,Vilnius,2,4,4800
go,Vilnius,3,8,3500
kotlin,Vilnius,2,8,2800
rust,UK,3,10,6850
php,Vilnius,2,10,2200
java,Vilnius,3,4,2800
php,Skandinavija,2,3,2200
java,Kaunas,1,2,1500
php,Kaunas,3,8,2500
php,Vilnius,2,5,2100
js,Vilnius,3,10,3800
js,Vilnius,2,4,1800
go,Klaipeda,3,5,2000
js,Vilnius,2,5,3200
php,Kaunas,2,3,1100
js,Vilnius,2,4,3100
php,Klaipėdoje,2,2,1500
php,Vilnius,2,7,2850
php,Kaunas,3,10,4000
java,Vilnius,2,3,2000
js,JAV,2,7,5400
java,Vokietija,2,4,3000
php,Kaune,3,10,2300
js,Vilnius,2,5,2500
php,Vilniua,3,9,4000
js,Vilnius,2,5,2500
js,Kaunas,2,6,3000
java,Vilnius,2,5,2350
php,Kaunas,3,10,2600
.net,Vilnius,2,4,2930
php,Vilnius,3,7,3800
swift,Vilnius,3,4,2950
js,Vilnius,2,3,2170
.net,Vilnius,1,2,1250
js,Olandija,3,7,4500
php,Vilnius,3,6,3250
php,Vilnius,2,10,2200
php,Kaunas,3,6,2800
php,Kaunas,3,7,3500
php,Vilnius,2,5,2600
php,Vilnius,2,3,2050
.net,Vilnius,2,3,2500
sap,Vilnius,2,5,3500
php,JAV,2,4,5000
js,Vilnius,2,3,2400
js,Vilnius,1,1,1089
go,Kaunas,3,9,3700
js,Kaunas,2,6,2480
js,Vilnius,2,6,2400
js,Vilnius,3,7,3590
js,Šveicarija,2,5,3500
php,Panevėžys,2,3,1800
python,Kaunas,2,5,3000
js,Vilnius,2,4,2200
java,Kaunas,3,8,2800
js,Marijampole,1,1,1400
ruby,JAV,3,6,5300
js,Vilnius,3,6,4200
java,Kaunas,3,10,4500
js,Vilnius,3,10,4232
js,Šiauliai,2,9,2550
js,Kaunas,1,2,2430
js,Mažeikiai,2,4,2200
js,Kaunas,1,2,1200
php,Vilnius,3,7,2000
go,Vilnius,2,4,2500
php,Vilnius,1,1,1150
js,Kaunas,3,6,2600
php,Panevėžys,2,8,1700
java,Kaune,2,5,2200
.net,UK,2,5,3163
python,Kaunas,1,1,1030
python,Kaunas,3,9,3000
php,Vilnius,1,2,1200
js,Olandija,2,5,2500
php,Vilnius,2,8,2500
js,Vilnius,3,10,3500
js,Vilnius,1,1,1550
php,Vilnius,2,4,2300
php,Vilnius,2,5,1600
java,Vilnius,3,10,4200
php,Kaunas,1,1,1000
php,Vilniuje,3,8,3300
js,Vilnius,2,2,1500
scala,Malta,3,9,5700
php,Kaunas,3,10,2500
php,vilnius,3,10,7500
php,Klaipėda,2,4,1700
php,Vilnius,2,5,2700
c++,Kaunas,3,7,3000
php,Vilnius,3,10,3050
php,Vilnius,3,10,3000
.net,Kaunas,2,5,2200
js,Vilnius,3,6,14000
js,vilnius,3,3,3700
php,Vilnius,2,4,3300
php,Klaipėda,3,10,3000
php,Kaunas,3,10,2200
js,Klaipeda,1,1,1500
php,Vilnius,3,7,3500
js,Vilnius,2,4,3400
.net,Vilnius,3,6,3200
js,Vilnius,2,3,2285
js,Vilnius,2,3,2000
java,Kaunas,1,1,800
php,Kaunas,3,9,3700
.net,Vilnius,2,5,2500
go,Klaipėda,2,3,1850
java,Vilnius,3,5,5000
php,Kaunas,2,4,1400
java,Vilnius,3,5,3400
java,Vilnius,2,5,2100
js,Vilnius,2,4,1300
php,Kaunas,2,2,1420
python,Kaunas,1,1,1600
c++,JAV,3,10,24000
java,Vilnius,2,5,2300
php,Vilnius,1,1,1300
js,Kaunas,2,3,1900
php,Kaunas,2,3,1600
php,Tauragė,1,2,1500
php,Vilnius,2,5,2500
java,Vokietija,2,3,5000
flutter,Kaunas,1,1,1000
php,Kaunas,2,3,1600
php,Vilnius,1,1,800
kotlin,Vilnius,3,8,3700
java,Vilnius,2,8,3100
php,vilnius,3,10,5000
js,Vilnius,2,5,2200
php,Vilnius,3,7,2500
php,Vilnius,2,6,2500
js,Vilniuje,2,4,2850
js,Vilnius,3,6,2000
php,Kaunas,2,10,3000
.net,Kaunas,2,2,2300
js,Vilnius,2,3,1800
.net,Vilnius,3,10,3600
php,Vilnius,3,10,5000
php,Vilnius,1,2,1000
php,Vilnius,2,3,2500
php,Vilnius,3,6,3100
js,Vilnius,2,4,3000
c++,Kaunas,2,3,1700
php,Kaunas,3,10,2500
js,Kaunas,2,4,2450
java,Vilnius,2,5,3200
js,Vilnius,2,5,2100
js,Vilnius,3,10,3100
js,Vilnius,1,4,1500
js,Vilnius,1,1,1370
node,Kaunas,3,8,3200
java,Kaunas,3,9,3700
php,Vilnius,2,6,3000
js,Kaunas,3,7,3000
js,Vilnius,2,4,2035
php,Vilnius,2,4,2400
.net,Vilnius,2,5,2525
.net,Vilnius,2,5,2600
php,UK,3,4,3000
java,Vilnius,2,2,1600
java,Vilnius,3,7,3300
java,Vilnius,3,8,3300
.net,Vilnius,3,10,3500
php,Vilnius,2,4,2000
js,Vilnius,2,5,2850
node,Kaunas,3,10,4000
js,Kaunas,2,5,2830
salesforce,Kaunas,3,8,4200
python,Vilnius,2,3,2700
.net,Vilnius,2,10,3700
php,Klaipėda,2,3,1700
php,Kaunas,3,8,3500
python,Vilnius,2,3,2600
python,Vilnius,3,8,3900
php,Vilnius,1,4,1650
.net,Kaunas,2,3,2500
js,Vilnius,1,1,1000
php,Kaunas,3,10,5000
js,Vilnius,2,2,2500
js,Kaunas,2,2,2000
php,Šiauliai,2,5,1500
js,Vilniuje,1,2,1633
js,Vilnius,2,3,2100
php,Vilnius,3,10,5000
php,Vilnius,2,2,1800
java,Kaunas,2,4,2100
js,Vilnius,3,7,2700
php,Vilnius,3,10,3400
php,Kaunas,1,1,950
js,Vilnius,1,1,800
js,Vilnius,2,3,1700
php,Vilnius,2,6,2450
php,Vilnius,2,2,2500
js,Vilnius,3,4,3150
java,UK,3,10,8800
java,Vilnius,1,1,700
php,VILNIUS,3,10,4200
js,Vilnius,3,7,2700
php,Kaunas,2,10,3000
js,Vilnius,2,3,2300
js,Vilnius,2,4,3864
node,Kanada,3,6,4800
js,Kaunas,3,8,3300
node,Kaunas,2,5,3016
.net,Kaunas,2,5,2000
js,Vilnius,3,4,3300
java,JAV,3,4,9200
php,Alytus,1,2,1000
java,Vilnius,1,1,1400
php,Vilnius,2,5,2000
php,Vilnius,3,10,2865
node,Vilnius,3,5,3550
js,Vilnius,2,3,1936
php,Kaunas,2,4,2300
python,Šiauliai,1,3,1250
.net,Šiauliai,1,2,1098
php,Vilnius,3,10,2700
php,Vilnius,3,5,2500
php,Klaipeda,2,2,1000
.net,Kaunas,1,2,1500
php,Vilnius,3,8,3100
ruby,Vilnius,3,10,3500
js,Vilnius,2,4,2500
python,Vilnius,2,6,2500
.net,Kaunas,2,5,2500
php,Vilnius,3,10,3890
php,Kaunas,2,3,1400
php,Vilnius,3,5,3000
kotlin,Vilnius,1,1,1700
php,Vilniuje,3,9,3500
.net,Kaunas,2,4,2400
php,Kaunas,2,3,1600
php,Vilniuje,2,4,2200
java,Vilnius,3,7,2800
php,Vilnius,1,1,1200
php,Vilnius,2,4,3000
node,Kaunas,2,3,2500
go,JAV,3,10,30000
php,Klaipėda,2,10,2500
java,Kaunas,2,4,1930
java,Vilnius,2,2,2800
.net,Kaunas,3,7,4500
python,Kanada,2,6,3080
php,Kaunas,3,10,2600
python,Vilnius,3,8,2800
php,Vilnius,2,5,2000
php,Kaunas,3,10,2500
js,Vilnius,1,1,1400
php,Kaunas,3,9,5500
php,Mažeikiai,2,5,1300
js,Vilnius,3,9,3700
php,Panevezys,1,3,1350
.net,Kaunas,3,10,2950
php,Kaunas,2,10,1600
js,Vilnius,3,8,3050
js,Kaunas,2,3,2500
js,Kaunas,2,2,1650
js,Vilnius,2,3,2850
php,Kaune,1,2,1700
.net,Vilnius,3,10,4000
js,Kaunas,3,10,3800
js,Kaunas,1,1,850
js,Vilnius,3,7,3450
php,Kaunas,2,5,1300
js,Kaunas,1,1,1350
php,Šiauliai,3,10,3200
php,Vilnius,2,4,3000
go,Vilnius,3,10,4100
python,Vilnius,2,5,2500
.net,Vilnius,3,5,3500
.net,Kaunas,3,10,3000
python,Vilnius,3,10,3900
js,VILNIUS,1,1,1200
swift,Vilnius,3,7,3300
ruby,Vilnius,3,10,4000
php,Vilnius,3,10,3800
php,Kaunas,3,10,3200
php,Kaunas,2,2,1200
php,Vilnius,2,3,1400
js,Kaunas,2,1,1300
js,Vilnius,2,3,1500
php,Vilnius,3,10,5500
php,Vilnius,2,6,2200
php,Kaunas,3,10,4400
java,Vilnius,1,2,1450
js,Kaunas,2,6,2800
js,Vilnius,1,2,1200
js,Vilnius,3,8,3000
.net,Vilnius,2,4,2400
php,Vilnius,1,1,1000
js,Vilnius,1,2,1550
js,Vilnius,3,6,3025
js,Vilnius,2,3,2250
php,Vilnius,1,2,1900
php,JAV,3,6,4500
php,Kaunas,2,2,1000
node,Vilniuje,1,2,1200
js,UK,3,8,4300
js,Vilnius,3,10,4400
php,Kaunas,3,10,4200
php,Kaunas,2,6,2400
php,Vilnius,2,6,2800
php,Suomija,3,10,3600
.net,Vilnius,3,6,2860
js,Kaunas,2,5,2000
php,Vilnius,3,5,3000
.net,Vilnius,2,6,2500
js,Vilnius,3,4,3500
php,Vilnius,3,10,3500
php,Kaunas,2,6,2300
.net,vilnius,3,8,4100
js,Kaunas,2,4,900
.net,Vilnius,3,5,3000
java,Vilnius,2,5,2600
java,Vilnius,3,8,4100
js,Kaune,2,6,875
js,Šveicarija,3,10,3500
node,Kaunas,3,6,3100
php,Vilnius,2,5,2200
kotlin,Vilnius,3,5,3977
.net,Šiauliai,3,6,2200
php,Kaunas,3,8,3500
php,Vilnius,1,2,1400
php,Klaipeda,1,1,1500
go,Vilnius,3,10,4500
python,Vilnius,3,7,3500
java,Vilnius,2,6,2600
java,Vilnius,3,10,5000
python,Vilniuje,2,7,2750
.net,Vilnius,3,10,4300
php,Kaunas,2,3,1800
php,Vilnius,3,8,3600
js,Vilnius,2,3,1950
js,Vilnius,1,3,670
php,Vilnius,3,7,3000
php,VILNIUJE,2,5,1300
java,UK,3,5,3800
js,JAV,3,10,5400
.net,Vilnius,3,7,2700
js,Vilnius,1,2,1450
.net,Vilnius,3,5,3500
java,Vilnius,3,10,3300
php,Vilnius,2,5,2200
php,Vilnius,2,6,2500
js,Vilnius,2,2,1200
php,Vilnius,2,7,1800
.net,Vilnius,2,3,1950
js,Vilnius,2,2,1500
php,Siauliai,3,10,2600
php,Kaunas,3,9,3200
php,Vilniuje,2,4,2300
php,Kaunas,3,10,3105
js,Vilnius,2,2,2100
java,Vilnius,1,1,1322
java,Kaunas,2,10,2200
java,Kaunas,2,3,1600
php,Vilnius,3,6,3800
java,Vilnius,3,10,3800
php,Kaune,1,1,1100
c++,Kaunas,3,10,3300
java,Vilnius,3,10,4300
php,Vilnius,3,8,3000
java,Vilnius,3,6,3600
js,Vilnius,2,2,2300
js,Prancūzija,3,9,5500
.net,Vilnius,2,10,2500
php,Kaunas,2,3,2300
python,UK,2,4,3050
php,Vilnius,2,4,3200
js,Vilnius,2,1,1573
php,Kaunas,1,5,1100
.net,vilnius,1,1,1500
java,Vilnius,2,4,2400
js,Vilnius,3,9,4000
php,Vilnius,3,7,3550
js,Danija,3,6,4300
js,Vilnius,3,7,4000
java,Vilnius,3,3,2500
java,Vilnius,3,10,3080
js,Vilnius,1,1,960
c++,Vilnius,2,5,2700
php,Vilnius,3,5,2000
js,Kaunas,3,6,3200
.net,Vilnius,3,9,3000
node,Klaipėda,2,4,2200
c++,Vilnius,3,5,3500
js,Vilnius,3,9,1250
c++,Vilnius,1,1,1200
js,Vilnius,2,3,2100
php,Vilnius,2,8,2080
.net,Vilnius,2,6,2825
js,Vilnius,2,3,2000
js,Vilnius,2,4,3000
c++,Kaunas,2,2,1500
.net,Kaunas,1,2,1400
.net,Vilnius,3,10,3500
node,Kaunas,3,8,5000
js,Kaunas,3,9,3200
python,Vilnius,2,3,2700
js,Kaunas,2,5,3000
js,Vilnius,2,5,2833
php,Vilnius,1,2,1081
python,Vilnius,2,3,3500
c++,Vilnius,3,4,3500
js,Vilnius,3,10,5261
php,Kaunas,3,8,3500
swift,Vilnius,3,10,3800
java,Vilnius,1,1,1742
.net,Vokietija,3,10,4000
c++,Kaune,2,3,2000
.net,vilnius,1,2,1875
ruby,UK,3,10,6300
c++,Vilnius,2,4,2500
js,Kaunas,2,4,2150
php,Baltarusija,2,3,5500
js,Vilnius,1,1,800
kotlin,Kaunas,1,1,1440
js,JAV,3,10,9000
js,Vilnius,2,4,1500
js,Vilnius,3,6,2700
flutter,Kaunas,2,3,1249
.net,Vilnius,2,5,3400
js,Vilnius,3,7,3000
c++,Kanada,3,3,14000
php,Kaunas,3,10,2400
java,Vilnius,3,7,2800
php,Kaunas,3,4,3000
java,Kaunas,3,10,3500
php,Kaunas,2,4,2000
java,Vilnius,2,7,2800
java,Vilnius,2,5,2520
php,Klaipėda,2,8,1750
.net,Vilnius,2,3,2300
rust,Vilnius,1,1,2200
.net,Vilnius,3,9,3150
js,Vilnius,3,9,2900
python,Vilnius,3,5,3500
java,Vilnius,2,2,2300
.net,Vilniuje,3,9,4020
c++,Vilnius,1,1,1250
python,Suomija,3,10,6000
.net,Kaunas,2,5,3000
java,Vilnius,2,2,1400
java,Vilnius,3,8,2400
.net,Kaune,2,4,1400
js,Vilnius,2,6,3500
php,Vokietija,3,10,2000
sql,Vilnius,2,6,1200
swift,Vilnius,1,4,1700
python,Kaunas,3,9,3600
go,UK,1,2,2700
js,Vilnius,2,4,2800
python,Kaunas,2,3,1700
php,Vilnius,2,5,3000
kotlin,Jonava,2,7,920
node,Kaunas,3,7,2700
kotlin,Kaunas,1,1,1800
blockchain,JAV,2,4,5500
go,Vilnius,3,9,7000
.net,Vilnius,1,1,1325
kotlin,Vilnius,2,4,1605
js,Danija,2,8,6000
java,Vilnius,1,1,1400
java,Vilnius,2,3,1700
php,Kaunas,3,9,5000
sql,Kaunas,1,1,1030
go,Kaunas,3,10,4800
java,Vilnius,2,3,2700
java,Vilnius,3,10,3300
java,Kaunas,2,5,1770
php,Vilnius,3,7,4500
.net,Kaunas,3,9,2800
node,Kaunas,2,5,2300
js,Vilnius,1,3,1850
js,Vilnius,2,3,1200
.net,Vilnius,2,3,2772
kotlin,Kaunas,2,3,2150
c++,Vilnius,2,7,2300
js,Vilnius,3,10,3200
php,Kaunas,2,4,1700
python,Vilnius,2,3,1200
.net,Vilnius,1,1,1300
java,Vilnius,3,8,4200
js,Vilnius,2,2,1630
.net,Vilnius,2,6,3300
java,Kaunas,2,8,2400
php,Kaunas,1,1,1700
.net,KAUNAS,3,5,2200
js,Kaunas,2,2,1437
java,Kaunas,2,3,2450
js,JAV,2,5,5700
js,Vilnius,2,6,2400
.net,VILNIUS,3,9,4000
.net,Vilnius,2,4,2500
.net,Vilnius,2,4,1700
rust,Vilnius,3,5,2500
ruby,Vilnius,3,10,7500
.net,Kaunas,2,2,1700
js,Danija,1,3,3300
.net,Vilnius,1,2,800
rust,JAV,3,10,14733
js,Vilnius,2,4,2400
java,Vilnius,2,3,2300
java,Vilnius,1,2,1800
.net,Kaunas,2,4,3000
python,Uk,1,3,2000
php,Klaipėda,2,7,2350
js,Vilnius,1,1,950
js,Kaunas,2,3,1996
ruby,Vilnius,3,10,5000
php,Kaunas,2,7,2400
devops,Kaunas,1,1,1591
flutter,Kaunas,2,3,3300
js,Kaunas,1,1,1600
php,Šiauliai,1,2,1300
js,Vilnius,2,4,2550
js,Vilnius,1,1,1700
c++,Vilnius,2,2,2000
php,Kaunas,2,4,3750
java,Vilnius,3,9,4500
c++,Vilnius,2,5,2300
go,Vilnius,3,6,4100
c++,vilnius,3,8,3500
js,Pietų Afrikos Respublika,2,7,2400
php,Kaunas,3,7,3640
go,vilnius,3,6,3700
php,Kaunas,3,10,3200
php,Vilnius,2,4,2950
php,Vilnius,1,3,1350
.net,Kaunas,1,1,850
python,JAV,3,10,19000
python,Klaipėda,2,7,1520
java,Norvegija,2,5,3200
sap,Kaunas,1,3,1350
java,Vilnius,3,4,3100
js,Vilnius,1,2,1490
.net,Kaunas,1,1,1350
.net,Vilnius,3,9,3800
php,Vilnius,1,3,1300
.net,Kaunas,2,5,2000
.net,Vilnius,3,10,3600
node,Vilnius,3,6,3950
go,Vilnius,2,4,2000
progress,Vilnius,3,8,3500
java,Vilnius,1,2,1300
php,Vilnius,2,3,2680
.net,Vilnius,3,6,3500
.net,Kaunas,2,3,2000
js,Vilnius,3,9,4660
.net,Vilnius,3,10,4500
php,kaunas,2,3,1700
.net,Vilnius,3,10,8000
php,Kaunas,2,4,2200
ruby,JAV,3,10,6000
java,Vilnius,2,2,2100
php,Kaunas,3,7,3000
js,Vilnius,3,6,3200
go,Kaunas,2,8,3500
js,Vilnius,3,5,3100
.net,Kaunas,1,1,1600
java,Jonava,1,1,1800
php,Birštonas,1,1,700
js,Vilnius,1,2,1300
.net,Vilnius,1,1,1200
php,Kaunas,2,5,3500
java,Kaunas,2,4,2180
.net,Vilnius,3,7,3300
php,Kaunas,1,3,2100
php,Klaipėda,1,1,1500
java,Vilnius,1,4,1200
php,Vilnius,2,5,1900
openedge,Vilnius,2,4,2200
python,Kaune,1,2,1100
.net,Kaunas,1,1,1300
java,Vilnius,2,3,2300
.net,Vilnius,1,1,1300
python,Kaunas,2,4,1450
python,Vilnius,2,3,2800
.net,Vilnius,3,6,2900
swift,Vilnius,3,4,4400
js,Vilnius,2,3,2700
.net,Rumsiskes,3,2,2700
java,Kaunas,1,1,950
c++,Vilnius,2,3,1800
go,Vilnius,2,5,3500
php,Kaunas,2,5,2200
.net,Vilnius,2,5,3700
kotlin,Vilnius,2,4,2600
.net,UK,3,10,16000
php,Vilnius,2,3,1426
js,Vilnius,2,4,2400
php,Kaunas,1,1,1300
js,Vilnius,1,1,2100
.net,Vilnius,2,4,3213
scala,Kaunas,3,7,3000
.net,Vilnius,1,1,1200
php,Vilnius,2,5,2200
java,Vilnius,3,8,2200
.net,Vilnius,1,2,2000
php,Šiauliai,2,4,2800
.net,Vokietija,3,10,4500
ruby,Vilnius,1,1,1500
php,Vilnius,2,3,2300
pascal,Kaunas,2,1,1250
kotlin,Belgija,3,9,5500
php,Vilnius,2,5,920
.net,Vilnius,2,3,2500
js,Kaunas,2,2,2000
ruby,Vilnius,2,3,2012
.net,Vilnius,2,5,900
.net,Vilnius,2,5,2500
php,Vilnius,2,6,2400
python,Kaunas,1,2,1100
python,Kaunas,1,3,1800
php,Vilnius,2,3,1900
php,Vilniuj,2,4,920
java,Vilnius,3,3,3000
.net,Vilniuje,2,4,2012
go,Airija,3,10,6100
ruby,Vilnius,3,10,4500
uipath,Vilnius,2,4,2200
ruby,Vilnius,3,7,3200
c++,Vilnius,3,9,3300
php,Kaunas,3,5,3300
node,Vilnius,3,5,3300
js,Vilnius,1,1,1400
js,Vilnius,1,1,1000
php,Vilnius,2,4,2900
kotlin,Vilnius,2,5,2300
java,JAV,3,5,4000
java,Vilnius,3,10,2900
unity,Kaunas,1,1,1000
python,Kaunas,2,3,2300
java,Vilnius,3,4,2800
java,Kaunas,2,2,2000
php,Kaunas,1,1,716
c++,kaunas,2,4,2800
php,Kaunas,3,7,2800
.net,Kaunas,2,3,1400
java,Vilnius,3,5,2900
js,Vilnius,2,6,2600
swift,Vilnius,3,8,4550
js,kaunas,2,1,1000
.net,Vilnius,1,2,1200
java,Vilnius,2,4,2300
java,Vilnius,1,1,1400
js,Vilnius,3,7,8400
java,Vilnius,3,10,3000
js,Vilnius,3,8,3400
java,Vilnius,2,3,2660
js,Vilnius,2,4,2300
php,Vilnius,1,1,1000
java,Vilnius,2,3,2800
php,Vilnius,1,1,1800
java,Vilnius,3,10,3200
c++,Kaunas,1,1,1400
.net,Kaunas,2,4,2500
js,Kaunas,2,3,2400
.net,Kaunas,1,1,1000
php,Vilnius,2,4,1200
.net,JAV,2,8,3500
python,Vilnius,1,1,1750
python,Vilnius,1,3,1380
.net,Vilnius,1,1,800
java,Vilnius,3,10,3600
go,Vilnius,3,10,4200
node,vilnius,3,8,3800
php,Vokietija,3,5,3250
php,Klaipėda,3,9,3000
python,Vilnius,2,4,2800
php,Vilnius,3,8,3200
js,Kaunas,2,3,1800
.net,Kaunas,2,7,3500
js,Vilnius,1,1,1100
go,Vilnius,3,10,4600
js,Vilnius,2,3,2200
js,Vilnius,2,2,2050
php,Vilnius,3,9,7000
.net,Vilnius,2,3,1800
js,Kaunas,3,7,3200
js,Vilnius,3,10,5300
js,Kaunas,1,8,2070
js,Vilnius,1,2,1000
js,Kaunas,3,4,2300
c++,Kaunas,1,2,1600
c++,Vilnius,2,6,3600
.net,Vilnius,3,8,3500
java,Vilnius,2,3,1900
js,Vilnius,2,2,1400
php,Klaipėda,1,1,1400
kotlin,Kaunas,2,3,3200
ruby,Vilnius,3,7,4000
php,Kaunas,3,4,3100
c++,Vilnius,3,10,3200
go,Kaunas,2,4,3200
flutter,Vilnius,2,2,1600
ruby,Vilnius,3,6,3900
php,Kaunas,2,5,1500
java,Vilnius,3,5,3100
java,Kaunas,2,5,2350
js,Vilnius,2,5,2500
.net,Kaunas,3,4,3000
node,Vilnius,3,10,3100
js,Kaunas,2,4,2664